COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,SARA schedule,Listed on,Range,Taxonomic group,Under consideration for
Basking Shark,Pacific population,Endangered,2018-04-27,Cetorhinus maximus,Basking Shark,Pacific population,Endangered,Schedule 1,2010-02-23,"British Columbia, Pacific Ocean",Fishes (marine),
Big Skate,,Not at Risk,2007-04-22,Raja binoculata,,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Blue Shark,North Pacific population,Not at Risk,2016-11-27,Prionace glauca,Blue Shark,North Pacific population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Bluntnose Sixgill Shark,,Special Concern,2007-04-22,Hexanchus griseus,Bluntnose Sixgill Shark,,Special Concern,Schedule 1,2009-03-05,Pacific Ocean,Fishes (marine),
Bocaccio,,Endangered,2013-11-01,Sebastes paucispinis,Bocaccio,,No Status,No schedule,,Pacific Ocean,Fishes (marine),Addition
Brown Cat Shark,,Data Deficient,2007-04-22,Apristurus brunneus,Brown Cat Shark,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Canary Rockfish,,Threatened,2007-11-30,Sebastes pinniger,Canary Rockfish,,No Status,No schedule,,Pacific Ocean,Fishes (marine),
Chinook Salmon,"East Vancouver Island, Ocean, Fall (EVI + SFj) population",Not at Risk,2020-11-04,Oncorhynchus tshawytscha,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"East Vancouver Island, Ocean, Fall population",Special Concern,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"East Vancouver Island, Ocean, Summer population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Ocean, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"East Vancouver Island, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"East Vancouver Island, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Ocean, Fall population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Ocean, Summer population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Ocean, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Lower Fraser, Stream, Spring population",Special Concern,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer (Upper Pitt) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Fraser, Stream, Summer population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Fraser, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Lower Thompson, Stream, Spring population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Lower Thompson, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Middle Fraser, Stream, Fall population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring (MFR+GStr) population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Middle Fraser, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"Middle Fraser, Stream, Summer population",Threatened,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"Middle Fraser, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"North Thompson, Stream, Spring population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Spring population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"North Thompson, Stream, Summer population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"North Thompson, Stream, Summer population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,Okanagan population,Endangered,2017-04-28,Oncorhynchus tshawytscha,Chinook Salmon,Okanagan population,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"South Coast - Georgia Strait, Ocean, Fall population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"South Coast - Georgia Strait, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"South Coast - Southern Fjords, Ocean, Fall population",Data Deficient,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"South Coast - Southern Fjords, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"South Thompson, Ocean, Summer population",Not at Risk,2018-11-01,Oncorhynchus tshawytscha,,,No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",Endangered,2018-11-01,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.2 population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition
Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",Endangered,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"South Thompson, Stream, Summer 1.3 population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",Threatened,2020-11-04,Oncorhynchus tshawytscha,Chinook Salmon,"Southern Mainland Boundary Bay, Ocean, Fall population",No Status,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),
